               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 121,             0.04721,             0.13672,            0.022649,              0.8431,             0.78803,             0.77522,              0.5506,            0.050395,             0.20481,            0.027797,             0.00604,             0.00604,             0.00604
                 122,            0.048263,             0.13321,            0.022821,             0.84099,             0.78763,             0.77349,             0.55661,             0.05066,             0.20496,            0.027826,            0.006007,            0.006007,            0.006007
                 123,            0.049573,             0.14163,            0.023313,             0.84381,             0.78605,             0.77555,             0.55682,            0.050421,              0.2062,            0.027824,            0.005974,            0.005974,            0.005974
                 124,            0.047472,             0.13508,            0.022354,             0.84038,             0.78131,              0.7742,             0.55359,            0.050758,             0.20581,            0.027823,            0.005941,            0.005941,            0.005941
                 125,            0.047544,             0.13751,            0.022991,              0.8525,               0.784,             0.77624,             0.56085,            0.050198,              0.2049,             0.02771,            0.005908,            0.005908,            0.005908
                 126,            0.048149,              0.1429,            0.022942,             0.84729,             0.78261,             0.77194,             0.55655,            0.050359,             0.20603,            0.027875,            0.005875,            0.005875,            0.005875
                 127,            0.048273,             0.14048,            0.023273,             0.85012,             0.77832,             0.77439,             0.55948,             0.05051,             0.20649,            0.027765,            0.005842,            0.005842,            0.005842
                 128,            0.048236,             0.13437,            0.022629,             0.84912,             0.78698,             0.77568,             0.56032,            0.050179,               0.206,            0.027753,            0.005809,            0.005809,            0.005809
                 129,            0.047153,             0.13494,            0.022737,             0.83889,             0.79235,             0.77585,             0.55795,            0.050156,             0.20814,            0.027782,            0.005776,            0.005776,            0.005776
                 130,            0.047846,             0.13768,            0.022446,             0.84397,             0.78746,             0.77596,              0.5568,            0.050448,             0.20672,            0.027797,            0.005743,            0.005743,            0.005743
                 131,            0.046371,             0.13481,            0.022416,               0.842,             0.78914,             0.77488,             0.56588,            0.050075,             0.20509,            0.027745,             0.00571,             0.00571,             0.00571
                 132,            0.046898,              0.1327,            0.022582,             0.84504,             0.78644,              0.7764,             0.56087,            0.050206,             0.20592,            0.027763,            0.005677,            0.005677,            0.005677
                 133,            0.046843,             0.13639,            0.022326,             0.84386,             0.78617,             0.77473,             0.56302,            0.050158,             0.20627,            0.027696,            0.005644,            0.005644,            0.005644
                 134,            0.047828,             0.13545,            0.022278,             0.84923,             0.78617,             0.77603,             0.56032,            0.050072,             0.20561,            0.027721,            0.005611,            0.005611,            0.005611
                 135,            0.046792,             0.13449,            0.022298,             0.84728,              0.7854,             0.77572,             0.56306,            0.049938,              0.2038,            0.027677,            0.005578,            0.005578,            0.005578
                 136,             0.04723,               0.136,            0.022574,             0.84386,             0.78915,             0.77551,             0.56398,            0.049793,             0.20517,            0.027621,            0.005545,            0.005545,            0.005545
                 137,            0.046591,             0.12937,            0.022145,             0.83716,             0.79182,             0.77499,             0.56026,            0.050101,             0.20626,            0.027701,            0.005512,            0.005512,            0.005512
                 138,            0.047279,             0.13517,            0.022351,              0.8439,             0.78755,             0.77737,             0.56241,             0.04999,             0.20443,            0.027589,            0.005479,            0.005479,            0.005479
                 139,            0.046756,             0.13581,            0.022045,               0.843,             0.78073,             0.77569,             0.56605,            0.049884,             0.20617,            0.027589,            0.005446,            0.005446,            0.005446
                 140,            0.047606,             0.13624,            0.022328,             0.84116,             0.78872,             0.77514,             0.56074,            0.049934,             0.20786,             0.02741,            0.005413,            0.005413,            0.005413
                 141,            0.047474,             0.13617,             0.02247,             0.84955,              0.7879,             0.77574,             0.55796,            0.050106,             0.20591,            0.027484,             0.00538,             0.00538,             0.00538
                 142,            0.047584,             0.13768,            0.022681,             0.84787,             0.78623,             0.77449,             0.56405,            0.050062,             0.20489,             0.02737,            0.005347,            0.005347,            0.005347
                 143,            0.046799,             0.13306,            0.021515,             0.84363,             0.79145,             0.77912,             0.56932,            0.049807,             0.20472,            0.027574,            0.005314,            0.005314,            0.005314
                 144,            0.046879,             0.13841,            0.022284,             0.84997,             0.78856,             0.77732,             0.56366,             0.04995,             0.20649,            0.027596,            0.005281,            0.005281,            0.005281
                 145,            0.046779,             0.13319,            0.022361,             0.85475,              0.7841,             0.77681,             0.56841,             0.04957,              0.2044,            0.027464,            0.005248,            0.005248,            0.005248
                 146,            0.046313,             0.13631,            0.022236,             0.84852,             0.78973,             0.77814,             0.56483,            0.049767,             0.20342,            0.027354,            0.005215,            0.005215,            0.005215
                 147,            0.047076,             0.13801,            0.022147,              0.8487,             0.78896,             0.77775,             0.56444,            0.049853,             0.20733,            0.027396,            0.005182,            0.005182,            0.005182
                 148,             0.04661,              0.1334,            0.022239,             0.84651,             0.79045,             0.77678,             0.57004,            0.049811,             0.20692,             0.02756,            0.005149,            0.005149,            0.005149
                 149,            0.047015,             0.13368,            0.022027,             0.84822,             0.79061,             0.77774,             0.57038,            0.049756,             0.20655,            0.027533,            0.005116,            0.005116,            0.005116
                 150,            0.046091,             0.13819,             0.02144,              0.8458,             0.78759,             0.77755,             0.56852,             0.04964,             0.20662,            0.027435,            0.005083,            0.005083,            0.005083
                 151,            0.046896,               0.133,            0.021995,             0.84845,             0.78715,             0.77727,              0.5705,            0.049569,             0.20418,            0.027345,             0.00505,             0.00505,             0.00505
                 152,            0.047466,             0.13468,            0.022333,             0.84748,             0.79215,             0.77706,             0.56966,            0.049743,             0.20314,            0.027415,            0.005017,            0.005017,            0.005017
                 153,            0.046809,             0.13745,            0.022168,             0.84417,             0.79287,             0.77711,             0.56801,            0.049691,             0.20492,            0.027454,            0.004984,            0.004984,            0.004984
                 154,            0.047123,              0.1347,            0.022484,             0.84797,             0.79188,             0.77623,             0.57307,            0.049634,             0.20412,            0.027468,            0.004951,            0.004951,            0.004951
                 155,            0.045835,               0.132,            0.021689,             0.84629,             0.79084,             0.77829,             0.56696,            0.049784,             0.20711,            0.027341,            0.004918,            0.004918,            0.004918
                 156,            0.045835,             0.13216,            0.021598,             0.84353,             0.79103,             0.77761,             0.56557,            0.049687,             0.20652,            0.027138,            0.004885,            0.004885,            0.004885
                 157,            0.045768,             0.12796,            0.021796,             0.84878,             0.79138,              0.7801,              0.5724,            0.049604,              0.2063,            0.027213,            0.004852,            0.004852,            0.004852
                 158,            0.046803,             0.13842,             0.02255,             0.84853,             0.78877,             0.77976,             0.57087,            0.049624,             0.20851,            0.027301,            0.004819,            0.004819,            0.004819
                 159,            0.046111,             0.13087,            0.021426,             0.85227,              0.7938,             0.78173,             0.56937,            0.049775,             0.20715,            0.027312,            0.004786,            0.004786,            0.004786
                 160,            0.046853,              0.1382,             0.02201,             0.84797,             0.79372,             0.78075,             0.57396,            0.049459,              0.2031,            0.027321,            0.004753,            0.004753,            0.004753
                 161,            0.046209,              0.1345,            0.022003,             0.84937,             0.78938,             0.78001,              0.5733,            0.049695,             0.20612,            0.027514,             0.00472,             0.00472,             0.00472
                 162,            0.046068,             0.13297,            0.021902,             0.84989,             0.78984,             0.78074,             0.57904,            0.049446,             0.20534,            0.027188,            0.004687,            0.004687,            0.004687
