               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 104,            0.050427,             0.13987,            0.024199,             0.84552,             0.77863,              0.7704,             0.54736,            0.050668,             0.21136,             0.02838,            0.006601,            0.006601,            0.006601
                 105,            0.048597,              0.1347,            0.023145,             0.83862,              0.7785,             0.76984,             0.54398,            0.050598,             0.20735,            0.028392,            0.006568,            0.006568,            0.006568
                 106,            0.049122,             0.13996,            0.023476,             0.84067,             0.77482,             0.76861,             0.55232,            0.050584,              0.2093,            0.028236,            0.006535,            0.006535,            0.006535
                 107,            0.049169,             0.13772,            0.023895,             0.84628,             0.77793,             0.77002,             0.53741,            0.051187,             0.21286,            0.028218,            0.006502,            0.006502,            0.006502
                 108,            0.049425,             0.13686,            0.023459,             0.84586,             0.77532,             0.77094,             0.55323,            0.050357,             0.20889,            0.028311,            0.006469,            0.006469,            0.006469
                 109,            0.048491,             0.13607,            0.022864,              0.8495,             0.77704,              0.7705,             0.55794,              0.0502,             0.20903,            0.028281,            0.006436,            0.006436,            0.006436
                 110,            0.049451,             0.13706,            0.023823,             0.83851,             0.78626,             0.77085,             0.54946,             0.05062,             0.21194,            0.028194,            0.006403,            0.006403,            0.006403
                 111,            0.049392,             0.13241,            0.023048,             0.84421,              0.7755,             0.77008,             0.55749,            0.050208,             0.20942,             0.02812,             0.00637,             0.00637,             0.00637
                 112,            0.048886,             0.13633,            0.023182,             0.84454,             0.77815,             0.76969,             0.55697,            0.050252,             0.20887,            0.028127,            0.006337,            0.006337,            0.006337
                 113,             0.04779,             0.13104,            0.022317,             0.84246,             0.77796,             0.77085,             0.55189,            0.050543,             0.20798,            0.028227,            0.006304,            0.006304,            0.006304
                 114,            0.048357,             0.13472,            0.022868,             0.84587,             0.77886,             0.76987,             0.54976,             0.05072,             0.21118,            0.028165,            0.006271,            0.006271,            0.006271
                 115,            0.047915,             0.13127,            0.023059,             0.84039,             0.78148,             0.77355,             0.55737,            0.050295,             0.20938,               0.028,            0.006238,            0.006238,            0.006238
                 116,            0.048489,             0.13906,            0.023674,             0.84392,             0.77668,             0.77074,             0.55541,            0.050281,             0.21082,             0.02811,            0.006205,            0.006205,            0.006205
                 117,            0.048619,             0.13609,            0.023233,              0.8454,             0.77951,             0.77349,             0.55527,            0.050486,             0.20954,            0.027986,            0.006172,            0.006172,            0.006172
                 118,            0.048407,             0.13903,            0.023198,              0.8439,             0.78046,             0.77244,             0.55513,            0.050191,             0.20968,            0.027917,            0.006139,            0.006139,            0.006139
                 119,            0.048313,             0.13231,            0.023001,             0.84905,             0.78164,             0.77167,             0.55428,            0.050163,             0.20936,            0.027802,            0.006106,            0.006106,            0.006106
                 120,            0.047142,             0.13244,            0.022929,             0.84467,             0.78376,             0.77215,             0.55689,            0.050278,              0.2116,            0.028081,            0.006073,            0.006073,            0.006073
                 121,            0.047768,             0.13448,            0.022439,              0.8476,             0.78086,             0.77326,             0.56129,            0.049903,             0.20877,            0.027771,             0.00604,             0.00604,             0.00604
                 122,            0.046779,             0.13308,            0.022454,             0.84698,              0.7787,             0.77302,             0.56516,            0.049821,             0.20668,            0.027838,            0.006007,            0.006007,            0.006007
                 123,            0.049125,             0.13832,            0.023421,             0.85196,             0.78053,             0.77366,             0.55564,            0.050134,             0.21023,             0.02785,            0.005974,            0.005974,            0.005974
                 124,            0.047278,              0.1365,            0.022737,             0.84816,             0.78115,             0.77205,             0.55772,            0.050049,             0.21062,            0.027821,            0.005941,            0.005941,            0.005941
                 125,            0.047604,             0.13013,            0.022169,             0.85116,             0.78324,             0.77576,             0.55666,            0.050172,             0.20994,            0.027751,            0.005908,            0.005908,            0.005908
